Time; Temperature; Luminosity 
0.338; 0.0; 386.6667
0.52; 25.25; 393.3333
0.7; 25.25; 393.3333
0.879; 25.25; 393.3333
1.058; 0.0; 386.6667
1.237; 0.0; 393.3333
1.416; 0.0; 386.6667
1.595; 25.25; 386.6667
1.774; 25.25; 393.3333
1.954; 25.25; 386.6667
2.134; 25.25; 393.3333
2.314; 25.25; 393.3333
2.494; 25.25; 393.3333
2.674; 25.25; 393.3333
2.854; 25.25; 393.3333
3.034; 25.25; 393.3333
3.214; 25.25; 393.3333
3.394; 25.25; 393.3333
3.574; 25.25; 393.3333
3.754; 25.25; 393.3333
3.933; 25.25; 393.3333
4.113; 25.25; 393.3333
4.297; 25.25; 393.3333
4.476; 25.25; 393.3333
4.655; 25.25; 393.3333
4.834; 25.25; 386.6667
5.013; 25.25; 386.6667
5.192; 25.25; 393.3333
5.374; 25.25; 386.6667
5.555; 25.25; 386.6667
5.734; 25.25; 393.3333
5.913; 25.25; 386.6667
6.092; 25.25; 393.3333
6.271; 25.25; 393.3333
6.45; 25.25; 393.3333
6.629; 25.25; 393.3333
6.808; 25.25; 393.3333
6.987; 25.25; 393.3333
7.166; 25.25; 393.3333
7.345; 25.25; 393.3333
7.524; 25.25; 386.6667
7.703; 25.25; 393.3333
7.882; 25.25; 393.3333
8.061; 25.25; 386.6667
8.245; 25.25; 386.6667
8.424; 25.25; 393.3333
8.603; 25.25; 386.6667
8.782; 25.25; 386.6667
8.961; 25.25; 393.3333
9.14; 25.25; 386.6667
9.319; 25.25; 393.3333
9.498; 25.25; 393.3333
9.677; 25.25; 386.6667
9.856; 25.25; 393.3333
10.035; 25.25; 393.3333
10.214; 25.0; 393.3333
10.393; 25.25; 386.6667
10.572; 25.25; 393.3333
10.751; 25.25; 386.6667
10.93; 25.0; 386.6667
11.113; 25.25; 393.3333
11.292; 25.25; 386.6667
11.471; 25.0; 386.6667
11.65; 25.25; 393.3333
11.829; 25.0; 386.6667
12.008; 25.0; 393.3333
12.192; 25.0; 393.3333
12.371; 25.0; 386.6667
12.55; 25.0; 386.6667
12.729; 25.0; 393.3333
12.908; 25.0; 393.3333
13.087; 25.0; 393.3333
13.266; 25.0; 393.3333
13.445; 25.0; 393.3333
13.624; 25.0; 386.6667
13.803; 25.0; 393.3333
13.982; 25.0; 393.3333
14.161; 25.0; 386.6667
14.34; 25.0; 393.3333
14.519; 25.0; 386.6667
14.698; 25.0; 386.6667
14.877; 25.0; 393.3333
15.056; 25.0; 393.3333
15.235; 25.0; 393.3333
15.414; 25.0; 393.3333
15.593; 25.0; 393.3333
15.772; 25.0; 393.3333
15.951; 25.0; 393.3333
16.13; 25.0; 393.3333
16.314; 25.0; 386.6667
16.493; 25.0; 393.3333
16.677; 25.0; 393.3333
16.856; 25.0; 386.6667
17.035; 25.0; 386.6667
17.214; 25.0; 393.3333
17.393; 25.0; 386.6667
17.572; 25.0; 393.3333
17.751; 25.0; 393.3333
17.93; 25.0; 386.6667
18.109; 25.0; 393.3333
18.288; 25.0; 393.3333
18.467; 25.0; 386.6667
18.646; 25.0; 393.3333
18.825; 25.0; 393.3333
19.004; 25.0; 386.6667
19.183; 25.0; 393.3333
19.362; 25.0; 393.3333
19.541; 25.0; 386.6667
19.72; 25.0; 393.3333
19.899; 25.25; 393.3333
20.078; 25.25; 386.6667
20.262; 25.25; 386.6667
20.441; 25.25; 393.3333
20.62; 25.25; 386.6667
20.799; 25.25; 393.3333
20.978; 25.25; 393.3333
21.161; 25.25; 386.6667
21.34; 25.0; 393.3333
21.519; 25.25; 393.3333
21.698; 25.25; 386.6667
21.877; 25.25; 393.3333
22.06; 25.25; 393.3333
22.239; 25.25; 393.3333
22.418; 25.25; 393.3333
22.597; 25.25; 393.3333
22.776; 25.25; 393.3333
22.955; 25.25; 393.3333
23.134; 25.25; 393.3333
23.313; 25.25; 386.6667
23.492; 25.25; 386.6667
23.671; 25.25; 393.3333
23.85; 25.25; 386.6667
24.029; 25.25; 393.3333
24.205; 25.25; 386.6667
24.384; 25.25; 386.6667
24.563; 25.25; 393.3333
24.742; 25.25; 393.3333
24.921; 25.25; 393.3333
25.1; 25.25; 393.3333
25.279; 25.25; 393.3333
25.458; 25.25; 393.3333
25.637; 25.25; 393.3333
25.816; 25.25; 393.3333
25.995; 25.25; 393.3333
26.174; 25.25; 393.3333
26.353; 25.25; 386.6667
26.532; 25.25; 386.6667
26.711; 25.25; 393.3333
26.89; 25.25; 386.6667
27.069; 25.25; 386.6667
27.248; 25.25; 393.3333
27.427; 25.25; 386.6667
27.606; 25.25; 393.3333
27.79; 25.5; 393.3333
27.974; 25.25; 393.3333
28.154; 25.5; 386.6667
28.334; 25.5; 393.3333
28.514; 25.25; 386.6667
28.694; 25.5; 386.6667
28.874; 25.25; 393.3333
29.054; 25.5; 393.3333
29.234; 25.25; 386.6667
29.414; 25.25; 393.3333
29.594; 25.25; 393.3333
29.774; 25.25; 386.6667
29.954; 25.25; 393.3333
30.134; 25.25; 393.3333
30.314; 25.25; 386.6667
30.494; 25.25; 393.3333
30.674; 25.25; 393.3333
30.854; 25.25; 393.3333
31.033; 25.25; 393.3333
31.213; 25.25; 393.3333
31.393; 25.25; 393.3333
31.572; 25.25; 386.6667
31.752; 25.25; 393.3333
31.937; 25.25; 393.3333
32.117; 25.25; 386.6667
32.297; 25.25; 393.3333
32.477; 25.25; 393.3333
32.657; 25.25; 386.6667
32.837; 25.25; 393.3333
33.016; 25.25; 393.3333
33.195; 25.25; 386.6667
33.378; 25.25; 386.6667
33.56; 25.25; 393.3333
33.74; 25.25; 386.6667
33.919; 25.25; 386.6667
34.099; 25.25; 393.3333
34.279; 25.25; 386.6667
34.459; 25.25; 386.6667
34.638; 25.25; 393.3333
34.818; 25.25; 386.6667
34.998; 25.25; 386.6667
35.178; 25.25; 393.3333
35.358; 25.25; 386.6667
35.537; 25.25; 393.3333
35.721; 25.25; 393.3333
35.9; 25.25; 386.6667
36.079; 25.25; 386.6667
36.258; 25.25; 393.3333
36.437; 25.25; 393.3333
36.616; 25.25; 393.3333
36.795; 25.25; 393.3333
36.974; 25.25; 393.3333
37.153; 25.0; 393.3333
37.332; 25.0; 393.3333
37.511; 25.25; 393.3333
37.69; 25.25; 393.3333
37.869; 25.0; 393.3333
38.048; 25.0; 386.6667
38.227; 25.0; 393.3333
38.406; 25.0; 393.3333
38.585; 25.0; 386.6667
38.764; 25.0; 393.3333
38.943; 25.0; 393.3333
39.127; 25.0; 386.6667
39.306; 25.0; 386.6667
39.485; 25.0; 393.3333
39.669; 25.0; 386.6667
39.85; 25.0; 386.6667
40.029; 25.0; 393.3333
40.208; 25.0; 386.6667
40.387; 25.0; 386.6667
40.566; 25.0; 393.3333
40.745; 25.0; 386.6667
40.924; 25.0; 393.3333
41.103; 25.0; 393.3333
41.282; 25.0; 386.6667
41.461; 25.0; 393.3333
41.64; 25.0; 393.3333
41.819; 25.0; 386.6667
41.998; 25.0; 393.3333
